"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","OPG","Strain","EXP_type","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","weight","weight_dpi0","faeces_weight","batch","label.1","totalOocysts"
"65","LM_0260",8,"E7bGHV",-11.9,11.2982790313474,"neg",0,"E64:E64",93.24603722,"E64","E64",0,"SCHUNT_SCHUNT","WDS","mLN",53.24,5.215,41.605,11.28,6.795,59.59,1.225,36.96,12.14,10.91,47.475,2.62,16.955,NA,NA,NA,NA,NA,NA
"66","LM_0261",8,"E7aKOP",-5.9,22.7925981911959,"neg",0,"E64:E88",93.03,"E64","E88",0,"PWD_SCHUNT","WDS","mLN",49.35,9.015,8.26,4.37,1.535,22.665,0.58,19.23,26.665,4.74,7.56,1.76,14.625,NA,NA,NA,NA,NA,NA
"67","LM_0262",8,"E7bABO",-10.06,0.225145312864292,"neg",2500,"E64:E64",108.613346,"E64","E64",1760.56338028169,"BUSNA_BUSNA","WDS","mLN",28.295,27.23,38.21,8.875,5.925,65.7,1.935,41.455,35.575,19.175,31.745,3.055,19.105,NA,NA,NA,NA,NA,NA
"68","LM_0263",8,"E7bLMZ",-8.38,15.5470128102051,"neg",50000,"E64:E64",100.0470588,"E64","E64",32051.2820512821,"PWD_SCHUNT","WDS","mLN",53.27,6.67,23.525,7.885,3.54,53.2,1.36,24.045,17.865,11.125,29.02,2.9,23.535,NA,NA,NA,NA,NA,NA
"69","LM_0264",8,"E7aADL",-10.02,12.6543617317481,"neg",0,"E64:E88",99.61,"E64","E88",0,"PWD_PWD","WDS","mLN",54.265,9.475,10.55,4.22,1.425,22.075,1.07,31.665,27.88,6.615,10.91,1.11,20.565,NA,NA,NA,NA,NA,NA
"70","LM_0265",8,"E7bIMQ",-11.42,24.5913139705393,"neg",2500,"E64:E64",99.77298524,"E64","E64",1020.40816326531,"BUSNA_STRA","WDS","mLN",48.49,5.22,36.585,17.105,3.37,72.075,0.62,38.04,27.135,6.945,43.535,2.015,11.53,NA,NA,NA,NA,NA,NA
"71","LM_0266",8,"E7aIOS",-8.25,1.04028249056332,"neg",0,"E64:E88",81.83,"E64","E88",0,"SCHUNT_STRA","WDS","mLN",56.78,4.835,16.835,13.005,1.735,11.91,1.12,50.07,18.02,2.365,6.815,1.13,8.335,NA,NA,NA,NA,NA,NA
"72","LM_0268",8,"E7aGSW",-8.15,22.2297969084074,"neg",0,"E64:E88",91.7,"E64","E88",0,"SCHUNT_SCHUNT","WDS","mLN",67.43,3.9,13,12.72,1.855,13.035,1.44,19.12,14.64,4.765,7.74,1.825,15.605,NA,NA,NA,NA,NA,NA
"73","LM_0269",8,"E7bLOT",-7.91,28.0476364972057,"pos",0,"E64:E64",98.10185185,"E64","E64",0,"STRA_SCHUNT","WDS","mLN",53.51,4.525,30.58,17.135,5.615,41.68,0.975,22.355,7.365,16.415,45.83,5.475,31.365,NA,NA,NA,NA,NA,NA
"74","LM_0270",8,"E7bKMQ",-9.75,19.7264528663963,"neg",0,"E64:E64",96.3164504,"E64","E64",0,"SCHUNT_STRA","WDS","mLN",49.935,6.265,43.855,12.8,5.395,56.13,0.875,30.46,13.72,7.845,51.61,5.17,21.41,NA,NA,NA,NA,NA,NA
"75","LM_0271",8,"E7aPSU",-9.2,11.5962495992721,"neg",0,"E64:E88",96.25,"E64","E88",0,"STRA_BUSNA","WDS","mLN",42.86,8.465,8.225,10.045,1.78,31.145,1.11,63.235,20.855,3.855,10.13,1.36,8.335,NA,NA,NA,NA,NA,NA
"76","LM_0272",8,"E7bAYZ",-10.55,NA,"neg",0,"E64:E88",100.0439174,"E64","E88",0,"BUSNA_STRA","WDS","mLN",55.305,7.315,22.15,12.34,1.835,34.18,1.01,12.905,12.335,3.985,23.61,1.225,10.585,NA,NA,NA,NA,NA,NA
