"","dpi.diss","inf.strain","EH_ID","dpi_of_perc","perc_of_dpi1"
"LM0024.Day9_.p","7dip","Efwild","LM0024",9,NA
"LM0084.Day9_.p","7dip","EI64","LM0084",9,NA
"LM0042.Day9_.p","7dip","Uninf","LM0042",9,NA
"LM0059.Day9_.p","7dip","Eflab","LM0059",9,NA
"LM0046.Day9_.p","7dip","Efwild","LM0046",9,NA
"LM0043.Day9_.p","7dip","EI64","LM0043",9,NA
"LM0065.Day9_.p","7dip","Uninf","LM0065",9,NA
"LM0033.Day9_.p","9dpi","Eflab","LM0033",9,82.0833333333333
"LM0045.Day9_.p","9dpi","Efwild","LM0045",9,80.75
"LM0056.Day9_.p","9dpi","EI64","LM0056",9,117.590361445783
"LM0091.Day9_.p","9dpi","Uninf","LM0091",9,104.225352112676
"LM0073.Day9_.p","9dpi","Eflab","LM0073",9,76.2987012987013
"LM0028.Day9_.p","9dpi","Efwild","LM0028",9,90.7303370786517
"LM0035.Day9_.p","9dpi","EI64","LM0035",9,94.6778711484594
"LM0023.Day9_.p","9dpi","Uninf","LM0023",9,108.805031446541
"LM0080.Day9_.p","9dpi","Eflab","LM0080",9,76.7263427109974
"LM0030.Day9_.p","9dpi","Efwild","LM0030",9,86.6847826086957
"LM0066.Day9_.p","9dpi","EI64","LM0066",9,97.6190476190476
"LM0089.Day9_.p","9dpi","Uninf","LM0089",9,90.75
"LM0021.Day9_.p","11dpi","Eflab","LM0021",9,69.4444444444444
"LM0048.Day9_.p","11dpi","Efwild","LM0048",9,70.6214689265537
"LM0072.Day9_.p","11dpi","EI64","LM0072",9,101.197604790419
"LM0032.Day9_.p","11dpi","Uninf","LM0032",9,100
"LM0025.Day9_.p","11dpi","Eflab","LM0025",9,76.9047619047619
"LM0027.Day9_.p","11dpi","Efwild","LM0027",9,82.6086956521739
"LM0078.Day9_.p","11dpi","EI64","LM0078",9,101.156069364162
"LM0049.Day9_.p","11dpi","Uninf","LM0049",9,98.2352941176471
"LM0031.Day9_.p","11dpi","Eflab","LM0031",9,76.4525993883792
"LM0054.Day9_.p","11dpi","Efwild","LM0054",9,81.9354838709677
"LM0071.Day9_.p","11dpi","EI64","LM0071",9,101.5625
"LM0053.Day9_.p","11dpi","Uninf","LM0053",9,110.38961038961
"LM0075.Day10_.p","7dip","Eflab","LM0075",10,NA
"LM0094.Day10_.p","7dip","Efwild","LM0094",10,NA
"LM0029.Day10_.p","7dip","EI64","LM0029",10,NA
"LM0085.Day10_.p","7dip","Uninf","LM0085",10,NA
"LM0079.Day10_.p","7dip","Eflab","LM0079",10,NA
"LM0024.Day10_.p","7dip","Efwild","LM0024",10,NA
"LM0084.Day10_.p","7dip","EI64","LM0084",10,NA
"LM0042.Day10_.p","7dip","Uninf","LM0042",10,NA
"LM0059.Day10_.p","7dip","Eflab","LM0059",10,NA
"LM0046.Day10_.p","7dip","Efwild","LM0046",10,NA
"LM0043.Day10_.p","7dip","EI64","LM0043",10,NA
"LM0065.Day10_.p","7dip","Uninf","LM0065",10,NA
"LM0033.Day10_.p","9dpi","Eflab","LM0033",10,NA
"LM0045.Day10_.p","9dpi","Efwild","LM0045",10,NA
"LM0056.Day10_.p","9dpi","EI64","LM0056",10,NA
"LM0091.Day10_.p","9dpi","Uninf","LM0091",10,NA
"LM0073.Day10_.p","9dpi","Eflab","LM0073",10,NA
"LM0028.Day10_.p","9dpi","Efwild","LM0028",10,NA
"LM0035.Day10_.p","9dpi","EI64","LM0035",10,NA
"LM0023.Day10_.p","9dpi","Uninf","LM0023",10,NA
"LM0080.Day10_.p","9dpi","Eflab","LM0080",10,NA
"LM0030.Day10_.p","9dpi","Efwild","LM0030",10,NA
"LM0066.Day10_.p","9dpi","EI64","LM0066",10,NA
"LM0089.Day10_.p","9dpi","Uninf","LM0089",10,NA
"LM0021.Day10_.p","11dpi","Eflab","LM0021",10,93.0555555555556
"LM0048.Day10_.p","11dpi","Efwild","LM0048",10,69.2090395480226
"LM0072.Day10_.p","11dpi","EI64","LM0072",10,102.694610778443
"LM0032.Day10_.p","11dpi","Uninf","LM0032",10,100
"LM0025.Day10_.p","11dpi","Eflab","LM0025",10,75.7142857142857
"LM0027.Day10_.p","11dpi","Efwild","LM0027",10,76.4492753623188
"LM0078.Day10_.p","11dpi","EI64","LM0078",10,101.156069364162
"LM0049.Day10_.p","11dpi","Uninf","LM0049",10,100
"LM0031.Day10_.p","11dpi","Eflab","LM0031",10,70.9480122324159
"LM0054.Day10_.p","11dpi","Efwild","LM0054",10,NA
"LM0071.Day10_.p","11dpi","EI64","LM0071",10,101.5625
"LM0053.Day10_.p","11dpi","Uninf","LM0053",10,111.038961038961
"LM0075.Day11_.p","7dip","Eflab","LM0075",11,NA
"LM0094.Day11_.p","7dip","Efwild","LM0094",11,NA
"LM0029.Day11_.p","7dip","EI64","LM0029",11,NA
