"","EH_ID","dpi","label","delta","IFNy_CEWE","Eim_MC","total_oocysts","infection_history","weight_change","primary","challenge","Strain","EXP_type","OPG","weight","weight_dpi0","faeces_weight","batch","Position","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IFNy_CD8","label.1","totalOocysts"
"64","LM_0234",8,"E7aBLW",-7.89,112.055644071278,"pos",67500,"E88:E64",99.63,"E88","E64","STRA_STRA","WDS",41411.0429447853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","LM_0235",0,"E7aFJS",NA,NA,NA,0,"E88:E64",100,"E88","E64","STRA_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","LM_0235",1,"E7aHKM",NA,NA,NA,0,"E88:E64",99.13,"E88","E64","STRA_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","LM_0235",2,"E7aEHM",NA,NA,NA,0,"E88:E64",98.83,"E88","E64","STRA_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LM_0235",3,"E7aQUZ",NA,NA,NA,0,"E88:E64",97.7,"E88","E64","STRA_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","LM_0235",4,"E7aDHL",NA,NA,NA,0,"E88:E64",97.91,"E88","E64","STRA_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","LM_0235",5,"E7aEFL",NA,NA,NA,377500,"E88:E64",101.17,"E88","E64","STRA_SCHUNT","WDS",253355.704697987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","LM_0235",6,"E7aCEO",NA,NA,NA,50000,"E88:E64",99.59,"E88","E64","STRA_SCHUNT","WDS",52631.5789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","LM_0235",7,"E7aAQY",NA,NA,NA,207500,"E88:E64",99.23,"E88","E64","STRA_SCHUNT","WDS",178879.310344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","LM_0235",8,"E7aDTU",-5.84,53.5403908319353,"pos",5000,"E88:E64",99.64,"E88","E64","STRA_SCHUNT","WDS",5263.15789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","LM_0236",0,"E7aAGN",NA,NA,NA,0,"E88:E64",100,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","LM_0236",1,"E7aTXZ",NA,NA,NA,0,"E88:E64",88.95,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","LM_0236",2,"E7aPRV",NA,NA,NA,0,"E88:E64",102.55,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","LM_0236",3,"E7aADG",NA,NA,NA,0,"E88:E64",104.57,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","LM_0236",4,"E7aBHI",NA,NA,NA,0,"E88:E64",102.63,"E88","E64","STRA_STRA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","LM_0236",5,"E7aEQV",NA,NA,NA,352500,"E88:E64",97.98,"E88","E64","STRA_STRA","WDS",179846.93877551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","LM_0236",6,"E7aHKN",NA,NA,NA,792500,"E88:E64",103.05,"E88","E64","STRA_STRA","WDS",566071.428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","LM_0236",7,"E7aNRU",NA,NA,NA,602500,"E88:E64",106.78,"E88","E64","STRA_STRA","WDS",424295.774647887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","LM_0236",8,"E7aFRU",-6.02,121.105391312534,"pos",77500,"E88:E64",103.05,"E88","E64","STRA_STRA","WDS",33261.8025751073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","LM_0238",0,"E7aILM",NA,NA,NA,0,"E88:E64",100,"E88","E64","PWD_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","LM_0238",1,"E7aGIQ",NA,NA,NA,0,"E88:E64",100.79,"E88","E64","PWD_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","LM_0238",2,"E7aGMW",NA,NA,NA,0,"E88:E64",103.51,"E88","E64","PWD_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","LM_0238",3,"E7aKUZ",NA,NA,NA,0,"E88:E64",100.14,"E88","E64","PWD_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","LM_0238",4,"E7aINU",NA,NA,NA,0,"E88:E64",98.78,"E88","E64","PWD_BUSNA","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","LM_0238",5,"E7aKST",NA,NA,NA,437500,"E88:E64",97.43,"E88","E64","PWD_BUSNA","WDS",533536.585365854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","LM_0238",6,"E7aEWY",NA,NA,NA,25000,"E88:E64",95.7,"E88","E64","PWD_BUSNA","WDS",53191.4893617021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","LM_0238",7,"E7aNOY",NA,NA,NA,2e+05,"E88:E64",93.92,"E88","E64","PWD_BUSNA","WDS",253164.556962025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","LM_0238",8,"E7aLYZ",-4.42,61.4115394386923,"pos",217500,"E88:E64",95.42,"E88","E64","PWD_BUSNA","WDS",157608.695652174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","LM_0239",0,"E7aEIQ",NA,NA,NA,0,"E88:E88",100,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","LM_0239",1,"E7aGVW",NA,NA,NA,0,"E88:E88",102.22,"E88","E88","SCHUNT_SCHUNT","WDS",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
