"","labels","experiment","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","oocyst_mean","dilution"
"470","DNX","E5",0,0,0,0,0,"1"
"471","AYZ","E5",0,0,0,0,0,"1"
"472","VWX","E5",0,0,0,0,0,"1"
"473","BHO","E5",0,0,0,0,0,"1"
"474","EHN","E5",0,0,0,0,0,"1"
"475","IVZ","E5",0,0,0,0,0,"1"
"476","KNX","E5",0,0,0,0,0,"1"
"477","JVY","E5",0,0,0,0,0,"1"
"478","EMV","E5",0,0,0,0,0,"1"
"479","BFO","E5",0,0,0,0,0,"1"
"480","DEZ","E5",0,0,0,0,0,"1"
"481","FOT","E5",0,0,0,0,0,"1"
"482","CQV","E5",0,0,0,0,0,"1"
"483","AUY","E5",0,0,0,0,0,"1"
"484","DEN","E5",0,0,0,0,0,"1"
"485","EGO","E5",0,0,0,0,0,"1"
"486","KRW","E5",0,1,1,2,1,"2"
"487","AIS","E5",0,0,0,0,0,"1"
"488","JKO","E5",0,1,0,0,0.25,"1"
"489","AFV","E5",1,0,0,0,0.25,"1"
"490","GNX","E5",0,0,0,1,0.25,"1,5"
"491","FGI","E5",0,0,0,0,0,"1"
"492","FNP","E5",0,0,0,0,0,"1"
"493","HLO","E5",0,0,0,1,0.25,"1"
"494","CGQ","E5",2,1,1,0,1,"1"
"495","PRY","E5",0,0,0,0,0,"2"
"496","EWX","E5",1,1,2,2,1.5,"2"
"497","GIQ","E5",0,0,0,2,0.5,"1"
"498","MXY","E5",0,0,1,1,0.5,"1"
"499","MUW","E5",0,0,0,1,0.25,"2"
"500","OXY","E5",0,0,0,0,0,"2"
"501","BDM","E5",1,1,0,0,0.5,"1,5"
