,EH_ID,dpi,labels,batch,experiment,relative_weight,OPG,primary_infection,challenge_infection,mouse_strain,delta,IFNy_CEWE,Eim_MC,infection_history,EXP_type,IFNy_MES,Position,CD4,Treg,Div_Treg,Treg17,Th1,Div_Th1,Th17,Div_Th17,CD8,Act_CD8,Div_Act_CD8,IFNy_CD4,IFNy_CD8
277,LM_0345,1,P3aRWR,a,P3,97.1993410214168,NA,UNI,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,LM_0345,1,P3bERF,b,P3,98.3108108108108,NA,UNI,E64,SWISS,NA,NA,NA,UNI:E64,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,LM_0346,1,P3aDSK,a,P3,101.855287569573,NA,UNI,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,LM_0346,1,P3bUYT,b,P3,99.0601503759399,NA,UNI,UNI,SWISS,NA,NA,NA,UNI:UNI,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,LM_0347,1,P3aVUI,a,P3,90.6293706293706,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,LM_0347,1,P3bVVN,b,P3,94.9348769898698,NA,E88,E88,SWISS,NA,NA,NA,E88:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,LM_0348,1,P4aOJF,a,P4,97.5450450450451,6944.44444444444,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,LM_0348,1,P4bBOI,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,LM_0349,1,P4aFST,a,P4,95.1485148514852,1792.1146953405,E139,NA,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,LM_0349,1,P4bBFB,b,P4,NA,NA,NA,E88,SWISS,NA,NA,NA,E139:E88,CLS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
