"","EH_ID","labels","experiment","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection"
"223","LM0287","E57aHSX","E5",19.16,19.81,"96.7188288743059",1.14,1,"primary"
"224","LM0288","E57aHRX","E5",16.81,17.29,"97.2238288027762",0,1,"primary"
"225","LM0289","E57aGKW","E5",18.93,19.44,"97.3765432098765",0.79,1,"primary"
"226","LM0291","E57aOUZ","E5",16.39,16.53,"99.1530550514217",1.03,1,"primary"
"227","LM0292","E57aNTW","E5",20.57,20.56,"100.048638132296",1.82,1,"primary"
"228","LM0293","E57aJRU","E5",16.89,16.94,"99.7048406139315",0,1,"primary"
"229","LM0294","E57aCLY","E5",13.63,13.66,"99.7803806734993",0,1,"primary"
"230","LM0295","E57aBJL","E5",17.4,17.12,"101.635514018692",0.43,1,"primary"
"231","LM0179","E57aHUY","E5",19.44,18.93,"102.694136291601",1.62,2,"primary"
"232","LM0180","E57aMQT","E5",23.82,24.1,"98.8381742738589",1.21,2,"primary"
"233","LM0181","E57aIRX","E5",17.78,17.5,"101.6",0.47,2,"primary"
"234","LM0182","E57aBOR","E5",17.45,16.94,"103.010625737898",0.63,2,"primary"
"235","LM0183","E57aCLN","E5",16.75,17.08,"98.0679156908665",0,2,"primary"
"236","LM0184","E57aETU","E5",22.6,22.8,"99.1228070175439",1.36,2,"primary"
"237","LM0185","E57aIPY","E5",20.64,20.1,"102.686567164179",2.01,2,"primary"
"238","LM0186","E57aCDE","E5",17.72,18.1,"97.9005524861878",0.27,2,"primary"
"239","LM0187","E57aNQS","E5",16.11,16.71,"96.4093357271095",2.08,2,"primary"
"240","LM0188","E57aFKW","E5",20.55,20.6,"99.7572815533981",0,2,"primary"
"241","LM0189","E57aDOV","E5",16.89,17.03,"99.1779213153259",0,2,"primary"
"242","LM0190","E57aEKR","E5",15.65,15.55,"100.64308681672",0.95,2,"primary"
"243","LM0191","E57aBNR","E5",21.53,21.97,"97.9972690031862",0,2,"primary"
"244","LM0192","E57aIVX","E5",21.45,21.06,"101.851851851852",0.83,2,"primary"
"245","LM0193","E57aFKO","E5",15.88,16.4,"96.8292682926829",0.96,2,"primary"
"246","LM0194","E57aEIP","E5",20.07,20.37,"98.5272459499264",1.85,2,"primary"
"247","LM0195","E57aGVZ","E5",17.16,16.88,"101.658767772512",1.08,2,"primary"
"248","LM0196","E57aFOW","E5",21.27,22.5,"94.5333333333333",1.87,2,"primary"
"249","LM0197","E57aFKM","E5",20.67,21.35,"96.8149882903981",1.22,2,"primary"
"250","LM0198","E57aOTV","E5",17.73,17.65,"100.453257790368",0,2,"primary"
"251","LM0199","E57aCFG","E5",26.95,26.85,"100.372439478585",0.84,2,"primary"
"252","LM0200","E57aCGY","E5",23.82,22.32,"106.720430107527",1.55,2,"primary"
"253","LM0201","E57aAIO","E5",22.01,21.75,"101.195402298851",1.28,2,"primary"
"254","LM0202","E57aAPX","E5",18.23,17.68,"103.110859728507",0.97,2,"primary"
"255","LM0203","E57aILR","E5",20.02,20.26,"98.8153998025666",0,2,"primary"
