,EH_ID,Strain,HybridStatus,primary,challenge,labels,dpi,weight,weight_dpi0,Wchange,fecweight,average,volume_PBS_mL,totalOocysts,OPG,infHistory
474,LM0294,PWD_PWD,parental strains,E64,E64,2FLN,8,16.67,17.02,97.94359577,1,3.75,1,37500,37500,E64:E64
475,LM0294,PWD_PWD,parental strains,E64,E64,2CHL,0,17.02,17.02,100,0.92,0,1,0,0,E64:E64
476,LM0294,PWD_PWD,parental strains,E64,E64,2RSW,1,17.06,17.02,100.2350176,1,0,1,0,0,E64:E64
477,LM0294,PWD_PWD,parental strains,E64,E64,2BGP,2,17.09,17.02,100.4112808,0.82,0,1,0,0,E64:E64
478,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2DEK,0,21.31,21.31,100,1.14,0,1,0,0,E64:E64
479,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2DRT,4,20.2,21.31,94.79117785,1.07,0,1,0,0,E64:E64
480,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2FGH,7,20.4,21.31,95.72970436,1.43,4.25,1,42500,29720.2797202797,E64:E64
481,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2CGI,2,20.51,21.31,96.24589395,2.07,0,1,0,0,E64:E64
482,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2ADF,1,20.37,21.31,95.58892539,1.47,0,1,0,0,E64:E64
483,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2ANY,5,20.33,21.31,95.40122008,2.98,44.25,1,442500,148489.932885906,E64:E64
484,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2NUY,6,20.06,21.31,94.13420929,3.19,40.25,1,402500,126175.548589342,E64:E64
485,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2DMR,3,20.29,21.31,95.21351478,1.82,0,1,0,0,E64:E64
486,LM0295,SCHUNT_PWD,inter subsp. hybrids,E64,E64,2COW,8,NA,21.31,NA,1.87,0.5,1,5000,2673.79679144385,E64:E64
