"EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aEPU",16.02,16.71,95.8707360861759,0.81,4,"primary",0,0,0,0,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aKPZ",NA,16.71,NA,0,9,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aFPR",15.5,16.71,92.7588270496709,0.64,6,"primary",0,0,0,0,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aMOU",16.07,16.71,96.1699581089168,0.89,5,"primary",0,0,0,0,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aENZ",16.73,16.71,100.119688809096,0,1,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aNQS",16.11,16.71,96.4093357271095,0,2,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aAPW",13.04,16.71,78.0371035308199,0,8,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aAKP",NA,16.71,NA,0,10,"primary",NA,NA,NA,NA,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aFJS",16.71,16.71,100,1.24,0,"primary",0,0,0,0,1
"LM0187","E57","PWD_PWD","E88",NA,NA,"E57aCIZ",NA,16.71,NA,0,11,"primary",NA,NA,NA,NA,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aAOV",19.99,20.6,97.0388349514563,2.42,5,"primary",0,0,0,0,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aCIW",20.6,20.6,100,0.9,0,"primary",0,0,0,0,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aBCR",20.27,20.6,98.3980582524272,0,1,"primary",NA,NA,NA,NA,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aUVY",20.07,20.6,97.4271844660194,1.44,7,"primary",9,8,6,10,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aDRY",20.15,20.6,97.8155339805825,0,3,"primary",NA,NA,NA,NA,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aTWY",17.67,20.6,85.7766990291262,0.54,9,"primary",23,19,22,17,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aFKW",20.55,20.6,99.7572815533981,0,2,"primary",NA,NA,NA,NA,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aDNX",19.76,20.6,95.9223300970874,1.33,4,"primary",0,0,0,0,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aDET",18.23,20.6,88.495145631068,0.64,8,"primary",41,49,73,57,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aIJT",17.74,20.6,86.1165048543689,0.61,11,"primary",4,6,12,9,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aCIP",17.03,20.6,82.6699029126214,0.73,10,"primary",27,24,25,34,1
"LM0188","E57","SCHUNT_STRA","E88",NA,NA,"E57aEOU",20.1,20.6,97.5728155339806,1.34,6,"primary",0,0,0,0,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aDOV",16.89,17.03,99.1779213153259,0,2,"primary",NA,NA,NA,NA,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aKSV",16.14,17.03,94.7739283617146,0,3,"primary",NA,NA,NA,NA,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aDGS",NA,17.03,NA,0,11,"primary",NA,NA,NA,NA,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aCKY",16.68,17.03,97.9448032883147,1.02,5,"primary",0,0,0,0,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aKWX",12.86,17.03,75.5137991779213,0.17,9,"primary",7,15,12,14,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aAYZ",16.24,17.03,95.3611274221961,0.88,4,"primary",0,0,0,0,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aCJS",16.35,17.03,96.0070463887258,0,1,"primary",NA,NA,NA,NA,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aABV",16.2,17.03,95.1262477980035,0.67,6,"primary",0,0,0,0,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aAOW",NA,17.03,NA,0,10,"primary",NA,NA,NA,NA,1
"LM0189","E57","PWD_PWD","E88",NA,NA,"E57aCHW",15.5,17.03,91.015854374633,0.6,7,"primary",1,3,6,5,1
