"Mouse_ID","weight","weightloss","fecweight","dpi","infection_isolate","sex","Neubauer1","Neubauer2","Neubauer3","Neubauer4","mean","dilution_ml","oocysts_number","OPG"
2,NA,NA,NA,11,"EfLab","female",NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,11,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,11,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,11,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,11,"EfLab","male",NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,11,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,11,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,11,"E64","male",NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,11,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,11,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,11,"E64","female",NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,11,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,11,"E88","male",NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,11,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,11,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,11,"E88","female",NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,11,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,11,"E139","male",NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,11,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,11,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,11,"E139","female",NA,NA,NA,NA,NA,NA,NA,NA
