Well,Sample Name,Detector,Task,Std_series,Ct,Ct_mean,Sd_Ct,Qty,Qty_mean,Sd_Qty,Date,Operator,Cycler,Oocyst_count,Parasite,Sample_type,Feces_weight,Qubit,NanoDrop,Extraction,Beads_weight,Tm
F1,Eimeria 10_5,Eimeria,Standard,C,14.91,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F2,Eimeria 10_5,Eimeria,Standard,C,12.48,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
F3,Eimeria 10_5,Eimeria,Standard,C,11.36,12.92,1.82,210000,,,120320,Victor,Eppendorf,210000,E_ferrisi,Oocysts,,,,Glass_beads,,
E1,Eimeria 10_4,Eimeria,Standard,C,18.55,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E2,Eimeria 10_4,Eimeria,Standard,C,16.71,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
E3,Eimeria 10_4,Eimeria,Standard,C,15.56,16.94,1.51,21000,,,120320,Victor,Eppendorf,21000,E_ferrisi,Oocysts,,,,Glass_beads,,
D1,Eimeria 10_3,Eimeria,Standard,C,22.22,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D2,Eimeria 10_3,Eimeria,Standard,C,20.44,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
D3,Eimeria 10_3,Eimeria,Standard,C,19.61,20.76,1.33,2100,,,120320,Victor,Eppendorf,2100,E_ferrisi,Oocysts,,,,Glass_beads,,
C1,Eimeria 10_2,Eimeria,Standard,C,26.16,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C2,Eimeria 10_2,Eimeria,Standard,C,25.35,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
C3,Eimeria 10_2,Eimeria,Standard,C,23.39,24.97,1.42,210,,,120320,Victor,Eppendorf,210,E_ferrisi,Oocysts,,,,Glass_beads,,
B1,Eimeria 10_1,Eimeria,Standard,C,27.35,27.62,0.34,21,,,120320,Victor,Eppendorf,21,E_ferrisi,Oocysts,,,,Glass_beads,,
